,Public  Access Data -  2022,,,,,,
NKID0305,TOTAL NUMBER OF NON-RESIDENT CHILDREN AGES 3-5 RESIDING IN A FOREIGN COUNTRY,,,,,,
NKIDLT06,TOTAL NUMBER OF NON-RESIDENT CHILDREN LESS THAN  6 YEARS OLD RESIDING IN A FOREIGN COUNTRY,,,,,,
NKLT14AB,NUMBER OF NON-RESIDENT KIDS LESS THAN 14 RESIDING IN A FOREIGN COUNTRY,,,,,,
NKLT14PR,NUMBER OF NON-RESIDENT KIDS LESS THAN 14 RESIDING IN  PUERTO RICO.,,,,,,
NKLT14ST,NUMBER OF NON-RESIDENT KIDS LESS THAN 14 RESIDING IN ONE OF THE 50 US STATES,,,,,,
NKLT15,NUMBER OF NON RESIDENT KIDS LESS THAN 15 YEARS OLD,,,,,,
NKLT15AB,NUMBER OF NON-RESIDENT KIDS LESS THAN 15 RESIDING IN A FOREIGN COUNTRY,,,,,,
NKLT15PR,NUMBER OF NON-RESIDENT KIDS LESS THAN 15 RESIDING IN PUERTO RICO.,,,,,,
NKLT15ST,NUMBER OF NON-RESIDENT KIDS LESS THAN 15 RESIDING IN ONE OF THE 50 US STATES,,,,,,
NKLT18AB,NUMBER OF NON RESIDENT KIDS LESS THAN 18 YEARS OLD RESIDING ABROAD,,,,,,
NKLT18US,NUMBER OF NON RESIDENT KIDS LESS THAN 18 YEARS OLD RESIDING IN THE  US (INC. PUERTO RICO),,,,,,
NLA01,NLA1  Have you had any injuries that were like what I just described to you?,,,,,,
NOPARENT,UNACCOMPANIED CHILDREN ,,,,,,
NP01F,"NP1F In the last 12 months, have you loaded, mixed or applied pesticides?",,,,,,
NQ01x,NQ1 In the last TWO YEARS have you used any type of health care services from doctors nurses dentists clinics or hospitals in the U.S.?,,,,,,
NQ01Ax,"NQ1A How about in a foreign country (e.g. Mexico) have you used any type of health services in the last two years? [ If ""YES"" ask and enter country.",,,,,,
NQ02COD,WAS IT RELATED TO FW?,,,,,,
NQ03Bx,"NQ3B The last time you used the health care provider, where did you go (what kind of place was it)?",,,,,,
NQ05x,NQ5  The last time you got attention from a healthcare provider who paid the majority of the cost?,,,,,,
NQ10Ax,"NQ10A When you want to get health care in the U.S. what are the main difficulties you face?             No transportation, too far away",,,,,,
NQ10Bx,NQ10B When you want to get health care in the U.S. what are the main difficulties you face?             Don't know where health services are available,,,,,,
NQ10Cx,NQ10C When you want to get health care in the U.S. what are the main difficulties you face?             Health center not open when needed,,,,,,
NQ10Dx,NQ10D When you want to get health care in the U.S. what are the main difficulties you face?             Do not have the service needed,,,,,,
NQ10Ex,NQ10E When you want to get health care in the U.S. what are the main difficulties you face?             Do not speak my language,,,,,,
NQ10Fx,NQ10F When you want to get health care in the U.S. what are the main difficulties you face?             Don't feel welcome,,,,,,
NQ10Gx,NQ10G When you want to get health care in the U.S. what are the main difficulties you face?             Do not understand my problems,,,,,,
NQ10Hx,NQ10H When you want to get health care in the U.S. what are the main difficulties you face?             Will lose my job,,,,,,
NQ10Ix,NQ10I When you want to get health care in the U.S. what are the main difficulties you face?             Too expensive,,,,,,
NQ10Jx,NQ10J When you want to get health care in the U.S. what are the main difficulties you face?             Other,,,,,,
NQ10Lx,"NQ10L When you want to get health care in the U.S. what are the main difficulties you face?   I'm ""undocumented' they don't treat me well",,,,,,
NQ10Mx,NQ10M When you want to get health care in the U.S. what are the main difficulties you face?   I do not know. I've never needed it,,,,,,
NRESPOUS,NON  RESIDENT SPOUSE,,,,,,
NRELNOEXPGE18,Number of adult non-relatives in the household who do not share in expenses,,,,,,
NRELNOEXPLT18,Number of child (under age 18) non-relatives in the household who do not share in expenses,,,,,,
NRELNOEXP,Number of all non-relatives in the household who do not share in expenses,,,,,,
NS01,NS1 Does your employer provide (EVERY DAY) clean drinking water and disposable drinking cups?,,,,,,
NS04,NS4 Does your employer provide a toilet ?,,,,,,
NS09,NS9 Does your employer provide water to wash hands?,,,,,,
NT02COD,LAST TIME OF INSTRUCTIONS FOR PESTICIDES,,,,,,
NUMFEMPL,NUMBER OF EMPLOYERS IN WORK GRID,,,,,,
NUMYRSFW,YEARS SINCE FIRST DID FARMWORK,,,,,,
NWWEEKS,NUMBER OF NON WORK WEEKS IN LAST YEAR,,,,,,
PESTCONT,MIXED/APPLIED PESTICIDES IN THE LAST 5 YEARS,,,,,,
PWTYCRD,PWTYCRD Weight used when working with several years of data,,,,,,
QUESLANG,QUESLANG Language of interview,,,,,,
REGION6,REGION OF INTERVIEW IN 6 CODES,,,,,,
SPOUSARR,YEAR SPOUSE ARRIVAL IN US,,,,,,
SPOUSE,SPOUSE ON FAMILY GRID,,,,,,
SPOUSEFW,SPOUSE DOES US FARMWORK,,,,,,
SPOUSENF,SPOUSE DOES US NON-FARMWORK,,,,,,
STREAMS,"STREAMS BY ZONE EASTERN, MIDWEST AND WESTERN RECODE C13 (STATE)",,,,,,
TASK,TASK (CODE),,,,,,
US_SHUTL,US SHUTTLERS,,,,,,
WAGET1,"WAGE, TASK 1",,,,,,
WORKTYPE,WORKTYPE Type of work,,,,,,
Y018US,YOUTH ON GRID LESS THAN 18 AND US RESIDENT,,,,,,
Y018USFW,YOUTH ON GRID LESS THAN 18 DID US FARM WORK,,,,,,
Y018USNF,YOUTH ON GRID LESS THAN 18 DID NON-FARM WORK,,,,,,
Y1417US,YOUTH ON GRID AGE 14-17 AND US RESIDENT,,,,,,
Y1417USF,YOUTH ON GRID AGE 14-17 DID US  FARM WORK,,,,,,
Y1417USN,YOUTH ON GRID AGE 14-17 DID US  NON-FARM WORK,,,,,,
YOUTH,WORKERS LESS THAN 21 YEARS OLD,,,,,,
